Actor Names,Country,Actor Details,Likes
Zhang Miao Yi,Chinese,"Zhang Miao Yi is a Chinese actress and model, currently signed under Xingyu Culture Entertainment. 
She graduated from the Central Academy of Drama and made her drama debut in 'Crossroad Bistro'.","1,158"
Nakajima Kento,Japanese,"Nakajima Kento is a Japanese actor, singer, and entertainer born in Tokyo. He's a former member of the idol group Sexy Zone and is signed to Johnny's. When he was in elementary school, he became interested in Johnny's after listening to Shuji to Akira's ""Seishun Amigo"" for the first time. He auditioned…","1,156"
Alen Fang,Chinese,"Fang Yilun (Alen) was born in Jiaxing City, Zhejiang Province, He is a singer and actor from Mainland China. In 2013, he made his official debut with the M4M group and released his first single ""Sadness"". In 2014, the youth idol drama ""Different Beautiful Men"" in which he participated was aired on Hunan…","1,156"
Hamabe Minami,Japanese,"Hamabe Minami, born in Ishikawa, is a Japanese actress, model and a former child actress managed by Toho Entertainment. Hamabe won the New Generation Award at the 7th Toho Cinderella Audition. She is known for her beautiful eyes. She has since starred in numerous films and dramas, with many of them…","1,152"
Yoo Teo,South Korean,"Yoo Teo is a Korean actor and director born and raised in Cologne, Germany. He began acting when studying at the Lee Strasberg Theater and Film Institute, NY at the age of twenty. He later continued his studies in an intensive course at the Royal Academy of Dramatic Art, London. After having acted in…","1,150"
Park Jae Chan,South Korean,"Park Jae Chan is a South Korean singer-songwriter, composer, rapper, dancer, and actor managed by Dongyo Entertainment. He is a member of the South Korean boy band group DKZ (formerly ""DONGKIZ"") which debuted on April 24, 2019 with the album “DONGKIZ On The Block” and their first sub-unit DONGKIZ…","1,148"
Eric Mun,South Korean,"Mun Jung Hyuk, better known as Eric, is a Korean entertainer, singer, actor, and model. He is a member and leader of the South Korean boy band Shinhwa. He is also well known for several dramas such as ""Phoenix"", ""Super Rookie"", and ""Another Oh Hae Young"". He was with Top Class Entertainment from 2007…","1,146"
Pavel Naret Promphaopun,Thai,"Naret Promphaopun, nicknamed Pavel or Phoom, is a Thai actor and singer. He has a bachelor's degree from Rangsit University's College of Communication Arts. Having lived in New Zealand for eleven years, Pavel's English skills lead him to work on the English subtitling team for ""2 Moons 2,"" the series…","1,146"
Moon Sang Min,South Korean,"Moon Sang Min is a South Korean actor and model signed under awesome.ent. He studies at Sungkyunkwan University's Acting and Arts Department and has been appointed public relations ambassador of his university. As a model, he did his first runway show at the 2018 F/W Sewing Boundaries Collection in…","1,144"
Jin Goo,South Korean,"Jin Goo is a South Korean actor represented by Varo Entertainment. He made his television debut in the 2003 gambling series ""All In"", as the younger version of the protagonist. He won Best Supporting Actor at the Grand Bell Awards and Blue Dragon Film Awards for his role in Bong Joon Ho's 2009 noir…","1,140"
Jackson Yee,Chinese,"Jackson Yi is a Chinese actor, musician, singer and dancer who was born in Hongjiang City, Huaihua, Hunan Province. He's a member of the band TFBOYS and graduated from the Central Academy of Drama. When Jackson was five, he started to participate in Variety shows and commercial films. On August 6, 2013,…","1,139"
August Vachiravit Paisarnkulwong,Thai,"Vachiravit Paisarnkulwong, nicknames August, is a Thai actor, model, and singer. He was born in Bangkok, Thailand. He debuted in the show Love Sick the Series. He currently holds a bachelor's degree Bachelor of Arts Sports Management from the Department of Sports Science and Sports Development from…","1,135"
Mario Maurer,Thai,"Mario Maurer, nicknamed Oh, is an actor of Thai-Chinese and German descent from Bangkok. He's signed as an actor under Channel 3 and as a musician under N.Y.U.Club (เอ็นวายยูคลับ). Starting off his career as a model at age sixteen, Mario later became best known for his lead…","1,128"
Yoshizawa Ryo,Japanese,"Ryo Yoshizawa is a Japanese actor from Tokyo represented by Amuse. He was signed by the agency after winning Right On award at the Amuse National Audition 2009, for which his mother registered him to join. His breakthrough roles were as Okita Sougo in Gintama, and as Yuichi in Friends Games. In early…","1,128"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Hirose Suzu,Japanese,"Suzu Hirose is a Japanese actress and model. She has an older sister, Alice Hirose, who is also a model and actress. Her real name is Ooishi Suzuka, but she chose her alias to synchronize with her older sister. She played basketball in high school. She was scouted when her mother and she attended an…","1,124"
Do Ji Han,South Korean,"Do Ji Han is a South Korean actor. He is best known for his supporting roles in the film ""The Tower"", which earned him a nomination for the Baeksang Arts Award for Best New Actor, and the KBS2's television series ""Hwarang: The Poet Warrior Youth"".

He enlisted in the military on December 26, 2018","1,121"
Shin Ha Kyun,South Korean,Shin Ha Kyun is a South Korean actor. Shin Ha Kyun first trained as a stage actor at the Seoul Institute of the Arts before going on to act in a large number of plays by Jang Jin. Shin first became a superstar with his role as a young North Korean soldier in Park Chan-wook's smash-hit Joint Security…,"1,119"
Murakami Nijiro,Japanese,"Murakami Nijiro is a Japanese actor and voice actor, the only son of actor Murakami Jun and singer UA. His parents divorced when he was nine-years-old and he grew up with his mother, stepfather, and three half-siblings. While still attending preparatory school, he moved to Okinawa with his family. Murakami…","1,119"
Hong Bin,South Korean,"Lee Hong Bin, most often credited as Hong Bin, is a South Korean singer and actor. He is an ex-member of the South Korean boy group VIXX. Hong Bin began his acting career in 2014 in SBS's romantic drama ""Glorious Day"". Hong Bin was one of ten trainees who were contestants in Mnet's survival reality…","1,116"
Park Hye Soo,South Korean,"Park Hye Su is a South Korean actress and singer. She participated in K-pop Star 4 as a contestant and rose to fame for her role in the 2016 series ""Age of Youth"". She took on her first lead role in the 2017 series ""Introverted Boss"". Park graduated from Korea University with a degree in Korean Language…","1,116"
Kim Hye Soo,South Korean,"Kim Hye Soo is a South Korean actress. Kim debuted in the 1986 film ""Ggambo"" when she was a first-year high school student. She has starred in many television dramas, as well as numerous films playing both lead and supporting roles. But it was in 2005-2006 when she reinvented her image as a femme fatale…","1,116"
Son Ho Jun,South Korean,"Son Ho Jun is a South Korean singer and actor. Prior to his acting debut, he made his entertainment debut in 2007 as the leader of Tachyon, a 3 member boyband, which first performed on the show A-Live on Channel V Korea. The first pop group launched by J&H Media, Tachyon released the debut single Feel…","1,115"
Wang Hao Xuan,Chinese,"Wang Hao Xuan is a Chinese actor. He graduated from the Performance Department of the Beijing Film Academy. In 2018, he officially entered the acting circle by participating in ""Youth in Your Name"". In 2019, he appeared in the series ""The Untamed"", gaining notoriety for his role and receiving the ""New…","1,112"
Wang Zhuo Cheng,Chinese,"Wang Zhuo Cheng is a Chinese actor. He is originally from Jiujiang, Jiangxi- south-west of China. He always loved singing and when he graduated from primary school, his mother took him to Beijing to learn against the wishes of their family members and friends. When he was 15, he was admitted to a middle…","1,110"
Byun Yo Han,South Korean,"Byun Yo Han is a South Korean actor under TeamHope Entertainment (팀호프). He completed his military service and was discharged in 2008.

Byun made his acting debut in 2011, and appeared in over 30 short films as a student of Korea National University of Arts. 

(Source: MyDramaList)","1,108"
Leon Zhang,Chinese,"Leon Zhang is a Chinese actor. He made his debut in the theater play, ""Thunderstorm"", and acted in several short films. In 2012, won the Best Actor award at the Beijing Student Original Film Competition for his performance in ""Love Express"". In 2013, after graduating from the Beijing Film Academy, he…","1,107"
Henry Lau,Canadian,"Henry is the multi-talented Canadian (of Taiwanese / Hong Kongese descent) singer-songwriter, rapper, producer, and actor from Toronto. He is multi-lingual and boasts varying degrees of fluency in English (his mother tongue) Mandarin, Korean, Cantonese, Japanese, Thai, and even French, the bonus of…","1,106"
Mike He,Taiwanese,"Mike He is a Taiwanese actor and entertainer. Born in Taipei City, he attended Taipei Municipal Xishong Elementary School, Taipei Municipal Minsheng Junior High School, and Taipei Municipal Xishong Senior High School. In 2011, he enrolled in the Continuing Education Division at Hsing Wu University,…","1,105"
Gao Han Yu,Chinese,"Gao Han Yu, formerly known as Gao Yu, was born in Taizhou City, Zhejiang Province. He is an actor and singer from mainland China and a member of the boy group HIT-5 . In 2007, he participated in the singing reality show ""My Type My Show"" and entered the top ten in the country . In 2008, he participated…","1,103"
Lee  Jong Hyun,South Korean,"Lee Jong Hyun is a South Korean guitarist, musician, and singer. He was the lead guitarist, vocalist and occasional composer of the South Korean rock band CN Blue. He made his acting debut in an omnibus movie Acoustic, followed by television debut in A Gentleman's Dignity in 2012. In 2015, he joined…","1,101"
Kang Yoo Seok,South Korean,"Kang Yoo Seok is a South Korean actor managed by HODU&U Entertainment. He attended the Korea National University of Arts and made his acting debut in the 2018 OCN series ""God's Quiz : Reboot"". He played his first main role in the 2020 film ""The Interviewees"".","1,101"
Kim Hyang Gi,South Korean,"Kim Hyang Gi is a South Korean actress. She began her career as a child actress and first appeared in the animal film ""Hearty Paws"". In 2013, she won a Best Young Actress Award at the 2013 MBC Drama Awards for her role in the drama ""The Queen's Classroom"". She also won the Best New Actress award at…","1,100"
Roh Jeong Eui,South Korean,"Roh Jeong Eui is a South Korean actress who is managed by Namoo actors. She made her TV debut in the 2011 series ""Bachelor's Vegetable Store"". She was an MC for the SBS music program ""Inkigayo"" from April 2022 to April 2023. She graduated from the Department of Theater and Film at Hanyang University,…","1,100"
Drake Sattabut Laedeke,Thai,"Drake Sattabut Laedeke is a mixed American-Thai actor born in Chiang Mai to a Thai-born mother and an American-born father. His heritage is Thai, American, Chinese, Scottish, and German. In 2024, he graduated from the University of Thai Chamber of Commerce's School of Tourism and Service Event Management.…","1,100"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Ireine Song,Canadian,"Born in Jinan, Shandong, China. She is fluent in Mandarin Chinese, French, and English. Ireine Song emigrated to Canada with her parents when she was 8 years old, but the family decided to move back to China three years later. At the age of 16, Ireine went back for further studies in Canada. In 2012,…","1,099"
G-Dragon,South Korean,"Kwon Ji Yong, better known by his stage name G-Dragon, is a South Korean rapper, singer, songwriter, producer, and model. After 6 years as a trainee under the record label YG Entertainment, G-Dragon officially debuted as the leader and one of two rappers for the Korean group Big Bang. G-Dragon has been…","1,098"
Feng Shao Feng,Chinese,"Feng Wei, better known by his stage name Feng Shao Feng, is a Chinese actor. He is currently an artist under the management of Huayi Brothers. Feng graduated from the Shanghai Theater Academy in 2001 and began his acting career in the same year. He has appeared in several television dramas. In 2007,…","1,097"
Jiro Wang,Taiwanese,"Jiro Wang, born in Taipei, Taiwan, is a Taiwanese singer and actor who initially gained recognition as a model. He is best known for his membership in the former boy band Fahrenheit. Wang's upbringing was marked by financial challenges, exacerbated by his father's passing when he was 16, leaving significant…","1,097"
Mike Chinnarat Siriphongchawalit,Thai,"""Mike"" Chinnarat Siriphongchawalit is a Thai actor. He graduated from Kasetsart University's Faculty of Economics where he was a cheerleader.

In 2018, Mike made his acting debut in the GMMTV anthology ""Our Skyy."" He was signed under the company until December, 2023. 

(Source: MyDramaList)","1,094"
Song  Ha Yoon,South Korean,"Kim Byul, real name Kim Mi Seon, is a South Korean actress and model, born on December 2, 1986. She debuted in 2003, in the KBS2 drama Sang Doo, Let's go to School, alongside Bi Rain and Gong Hyo Jin. She's mostly known for the main role of Kim Byeol in the movie Baby & I with Jang Geun Suk. Song Ha…","1,089"
Shin  Won Ho,South Korean,"Shin Won Ho is a South Korean singer, dancer, actor and member of CROSS GENE (크로스진). He graduated from Whimoon High School and later obtained an associate's degree in Broadcasting Entertainment from Dong-Ah University of Media and Arts. Before debuting as a singer, he began his career as an…","1,087"
Kimura Takuya,Japanese,"Kimura Takuya is a Japanese actor, entertainer, singer, and voice actor born in Tokyo. He is represented by Johnny's. He was a member of the male idol group SMAP from 1988 until they disbanded in 2016 and is currently a solo artist. He is known by the nickname ""Kimutaku"". After joining Johnny's in November…","1,087"
Moon Geun Young,South Korean,"Moon Geun Young is a South Korean actress. Affectionately called ""the nation's little sister"", Geun Young began modeling at the age of 10, then made her acting debut in 1999 as a child actress. She first rose to stardom through her role in the hugely popular television drama series ""Autumn in My Heart"",…","1,087"
Baron Chen,Taiwanese,"Baron Chen is a Taiwanese actor. He graduated from the Department of Tourism Management at Chinese Culture University. His father is the Taiwanese gangster patriarch Chen Qi Li (the first leader and spiritual leader of the Bamboo Union Gang). After a hiatus of five years, he returned to Taiwan in 2015…","1,087"
Noeul Nuttarat Tangwai,Thai,"""Noeul"" Nuttarat Tangwai is a Thai-Korean actor under Me Mind Y. He has a bachelor of business administration from Yonsei University. 

(Source: MyDramaList)","1,087"
Li Ge Yang,Chinese,"Li Ge Yang is a Chinese actor who made his debut in the entertainment world in 2016 when he participated in an idol-producing survival, reality show. In 2018, he made his acting debut, taking his first part in a television drama. He made his debut as a trainee on""Youth Trainee 2"", an idol-producing…","1,085"
Yoo In Soo,South Korean,"Yoo In Soo is a South Korean model and actor known for his roles in the dramas ""All of Us Are Dead"" and ""Alchemy of Souls"". He studied at Youngdeungpo High School and attended Seoul Arts College. He made his acting debut in the movie ""Forgotten"" and in the drama ""Strong Girl Do Bong Soon"".","1,085"
Michieda Shunsuke,Japanese,"Michieda Shunsuke is a Japanese idol and member of the Kansai Johnny's group, Naniwa Danshi, which debuted on November 12, 2021. He is managed by Johnny & Associates. He was born in Osaka.","1,079"
Park Ji Yeon,South Korean,"Park Ji Yeon, better known by the mononym Jiyeon, is a South Korean singer and actress. She is best known as a member of South Korean girl group T-ara. She debuted as a solo artist with her debut mini-album, Never Ever, on May 20, 2014, making her the first T-ara member to debut as a solo artist. Park…","1,076"
Dew Jirawat Sutivanichsak,Thai,"""Dew"" Jirawat Sutivanichsak is an artist under GMM TV. Born in Bangkok, Dew is of Chinese descent. He studies interactive design and multimedia at Srinakharinwirot University. Dew first entered the entertainment industry as a model. In 2021, he made his acting debut in the series ""F4 Thailand: Boys…","1,074"
Lai Kuan Lin,Taiwanese,"Lai Kuan Lin (English name: Edward) is a Taiwanese musician and actor born in Taipei. He was spotted by K-pop talent agency Cube Entertainment at an audition in Taiwan in 2016. He first rose to fame when he participated in the South Korean survival audition show “Produce 101 Season 2” (2017), eventually…","1,073"
Sing Harit Cheewagaroon,Thai,"Harit Cheewagaroon, nicknamed Sing, is an actor and musician from Bangkok. In 2020, he graduated from the Com. Arts Digital Media and Broadcasting programme at Bangkok University. As a guitarist, Sing won the gold medal at the Siam Kolkarn Family Popular Music The 1st Concert and second place in the…","1,071"
Yang Chao Yue,Chinese,"Yang Chao Yue is a Chinese singer-actress born in Yancheng, Jiangsu Province. Due to her parent's divorce, she entered society right after finishing junior high school and worked as a worker in a sewing factory and a restaurant waitress. By chance in November 2016, she signed up for the women’s team…","1,071"
Tong Thanayut Thakoonauttaya,Thai,"""Tong"" Thanayut Thakoonauttaya is an actor and model born in Bangkok. He graduated with a Bachelor of Science from the department of microbiology and a Masters of Branding and Marketing (MBM) at Chulalongkorn University. In addition to these degrees, he has taken additional coursework at the National…","1,070"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Ayase Haruka,Japanese,"Ayase Haruka is a popular Japanese actress, model and singer. Her immediate family consists of her father, mother and one brother. As a youth, Haruka was active in sports, playing basketball in middle school and competing in the Chugoku region Ekiden tournament (long-distance relay race) during junior…","1,069"
Leon Lai,Chinese,"Leon Lai, born in Ganzhou, Jiangxi, is a Chinese actor managed by Jay Walk Studio. He graduated from the Beijing Film Academy 09 performances Department. In 2015, Lai debuted in the action fantasy television series ""Armor Hero"". The same year, he made his big-screen debut in the crime thriller ""The…","1,066"
Niu Jun Feng,Chinese,"Niu Jun Feng, born in Beijing, is a Chinese actor managed by TH Entertainment. He graduated from the Chinese Academy of Traditional Chinese Opera. At the age of seven, he started learning Peking Opera and later received direct admission to the National Academy of Chinese Theatre Arts. When he was out…","1,063"
Kim Kyung Nam,South Korean,"Kim Kyung Nam is an actor born in Seoul, South Korea. He graduated from the Theatre Department of Seoil University. He made his acting debut in a theatre play titled ""Love"" in 2012. He's under JR Entertainment. In 2018, Kyung Nam received the Rookie Actor award at MBC Drama Awards for his work on ""Come…","1,063"
Aom Sushar Manaying,Thai,"Sushar Manaying, nicknamed Aom, is a Thai actress with half Chinese heritage. She was born as Sucha, then later changed the name to Sucharat and to the present one, Sushar, respectively. Aom first big role was playing Pie in the Thai lesbian films, ""Yes or No"" (2010) and ""Yes or No 2"" (2012), with Tina…","1,056"
Fluke Gawin Caskey,Thai,"""Fluke"" Gawin Caskey is a Thai-American actor signed with GMMTV. He studied at McDowell High School in the US before graduating from Assumption University's Martin de Tours School of Management and Economics in Bangkok. Having entered the entertainment industry through his contract with GMMTV, Fluke…","1,056"
Ahn Eun Jin,South Korean,"Ahn Eun Jin is a South Korean actress. She debuted with a musical in 2012 and continued to star in various other shows, such as the 'oksusu' drama ""Number Woman Gye Sook Ja"" as a wannabe actress named Joanna. In 2019, she won the Unexpected Award at the 1st OCN Awards for her portrayal of So Jeong Hwa…","1,055"
Mond Tanutchai Wijitvongtong,Thai,"""Mond"" Tanutchai Wijitvongtong is an actor born and raised in Bangkok, Thailand to a Thai-Chinese father and a Thai-Indian mother. He is the third child of four siblings, his elder sister is Mint Chalida Vijitvongthong, a well-known actress and model. He's also the owner of HI SO HIGH, a bar in Bangkok.…","1,054"
Xuan Lu,Chinese,"Lulu Xuan is a Chinese actress and professional ballet dancer. She graduated from the Beijing Dance Academy and made her acting debut in the TV series ""The Dream of Red Mansions"" in 2010. She is best known for portraying 'Lan Ma Shan Di' in the historical TV series ""Legend of Dance"" in 2013 and 'Jiang…","1,054"
Park Shi Hoo,South Korean,"Park Shi Hoo is a South Korean actor. He began his entertainment career as an underwear model and stage actor, then made his official television debut in 2005. After several years in supporting roles, Shi Hoo rose to fame in 2010 with the popular romantic comedy series ""Queen of Reversals"" and ""Prosecutor…","1,053"
Greg Hsu,Taiwanese,"Greg Hsu, also known as Greg Han or Hsu Kuang Han, is a Taiwanese actor and model. He is best known for his roles in the dramas Q Series: Love of Sandstorm (2016) and Someday or One Day (2019). He has been nominated for the Best Supporting Actor at the 52nd Golden Bell Awards. Hsu first appeared in…","1,053"
Takahashi Fumiya,Japanese,"Takahashi is an actor affiliated with A-Plus Entertainment. In 2017, Takahashi entered a beauty contest and was a finalist out of over 1000 applicants and made his debut magazine appearance in Popteen. Since then, he has made appearances in TV dramas and stage plays. Takahashi is a well-seasoned cook…","1,053"
Wu Jin Yan,Chinese,"Wu Jin Yan is a Chinese actress born in Chengdu. She began studying ballet at the age of 3. In 2000, she moved from her hometown to train at the Dance School Affiliated with Beijing Dance Academy, working to become a professional ballerina. After 7 years of boarding school, Wu joined the National Ballet…","1,049"
Kubota Masataka,Japanese,"Kubota Masataka, born in Kanagawa prefecture, is a member of Stardust Promotion. 

On September 21st, 2019 he got married to actress Asami Mizukawa.","1,047"
God Itthipat Thanit,Thai,"Itthipat Thanit, nicknamed God, is an actor and model born in Samut Prakan, Thailand. He graduated from the Faculty of Communication Arts from Assumption University. He debuted in the popular BL ""2 moons"" in 2017. Since then, he has continued to star in a variety of different dramas including a c-drama,…","1,045"
Jung Eugene,South Korean,"Jung Yoo Jin, also known as Eugene Jung, is a South Korean model and actress. She modeled fashion for brands like Louis Vuitton, Fendi, Chanel, Marc Jacobs, and DKNY. She was also a magazine model for Vogue, Marie Claire, and Cosmopolitan. She studied at Dongduk Women’s University. When she was a…","1,045"
Chen Chiao En,Taiwanese,"Chen Chiau En, known also as Joe Chen, is a Taiwanese actress, singer and model. She is the co-leader of Taiwanese group 7 Flowers and is also the first female member of the talent agency Jungiery. Her interest lies mainly in acting and writing and she does well in both fields. She was the female lead…","1,044"
Kang Mi Na,South Korean,"Kang Mi Na, most often credited only as Mina, is a South Korean singer and dancer. She is a former member of the South Korean girl group, Gugudan (gu9udan). Mina is popularly known as one of the eleven finalists in Mnet's survival show, Produce 101, which created the girl group I.O.I. She debuted as…","1,043"
Marcus Chang,Taiwanese,"Zhang Li Ang alias Marcus Chang), born as Zhang Wen Qian in Taipei, is a Taiwanese singer-songwriter, actor and music video producer. At aged 13, he immigrated to New Zealand with his family. He graduated from the Performing Arts Department of University of Auckland, majoring in jazz piano. After graduation,…","1,042"
Onew,South Korean,"Lee Jin Ki, better known by his stage name Onew, is a South Korean idol singer, dancer, actor, songwriter, presenter, radio host, MC, and promotional model. He is a member of the South Korean boy group ""Shinee"" under the label of SM Entertainment as the leader and lead vocalist. Onew collaborated with…","1,042"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Matsuzaka Tori,Japanese,"Tori Matsuzaka is a Japanese actor and model born in Kanagawa, Japan. He debuted as Takeru Shiba/Shinken Red in ""Samurai Sentai Shinkenger"". Since then, he has appeared in several television shows and films, such as ""The Blood of Wolves"" (2018), ""Impossibility Defense"" (2017), and ""Call Boy"" (2018).…","1,040"
Kamiki Ryunosuke,Japanese,"Kamiki Ryunosuke is a Japanese actor. He entered the industry in 1995 when he was only 2 years old. He made his drama debut in “Good News”, which gained him immense popularity through his first full time role as Naoya, playing the son of SMAP’s Masahiro Nakai. In 2001, he was discovered by Hayao…","1,039"
Lee El,South Korean,"Lee El (born Kim Ji Hyun) is a South Korean actress, born in Seoul, South Korea. She is best known as Lee Byung Hun's ill-fated love interest in the movie ""Inside Men"", as well as supporting roles in the MBC's series ""Monster"" and the tvN's series ""Goblin"".

(Source: Wikipedia)","1,038"
Luo Zheng,Chinese,"Luo Zheng, born in Guizhou Province, is a Chinese singer and actor. In January 2018, he competed in the iQIYI variety show ""Idol Trainee"". He officially debuted in April same year with the release of his first single ""U&I"" with the group MR-X. His acting stint began in November 2018 with his participation…","1,038"
Lee Kyu Hyung,South Korean,"Lee Kyu Hyung is a South Korean musical performer and actor. He studied in the Theater Department at Seoul’s Dongguk University and made his movie debut in “Kick the Moon” (2001).

 (Source: Viki)","1,037"
Peat Wasuthorn Chaijindar,Thai,"""Peat"" Wasuthorn Chaijindar is an actor and model under Me Mind Y. 

(Source: MyDramaList)","1,026"
Park Hae Soo,South Korean,"Park Hae Soo is a South Korean actor managed by BH Entertainment. On July 29, 2022, it was announced that he had additionally signed with the U.S. agency, United Talent Agency (UTA). Park Hae Soo made his theatre debut in 2007 with ""Mr. Lobby."" In 2017, his performance in the series ""Prison Playbook""…","1,024"
Mark Siwat Jumlongkul,Thai,"""Mark"" Siwat Jumlongkul is an actor from Chonburi province. He attends Srinakharinwirot University. Mark chose to study in Bangkok as it would give him the opportunity to try to make it in the entertainment industry while studying film and digital media in an effort to further his dream career. In 2018,…","1,021"
Kim Hee Chul,South Korean,"Kim Hee Chul is a South Korean singer, songwriter, presenter, and actor. He is a member of the South Korean boy band Super Junior and has further participated in its subgroup, Super Junior-T, as well as project group Universe Cowards with Min Kyung Hoon and Woojoo jjokkomi with Lee Soo Geun. He is also…","1,016"
Jeon Jong Seo,South Korean,"Jeon Jong Seo is a South Korean actress born in Seoul. She is best known for playing the role of Shin Hae Mi in the 2018 acclaimed South Korean thriller ""Burning."" When she was a child, her family moved to Canada, where she attended middle school. She received her high school education in Korea. After…","1,016"
Jung Ryeo Won,Australian,"Jung Ryeo Won is a is a Korean-Australian actress under H& Entertainment. Jung Ryeo Won was born in Seoul but emigrated to Australia in 1992 with her family. She has Australian citizenship. She encountered discrimination which made her determined to become fluent in English. By junior high school, she…","1,015"
Merxat,Chinese,"Merxat Yalkun, better known as Mi Re, is a Chinese actor of Uyghur ethnicity born in Urumqi, Xinjiang. He aspired to act from an early age, entering the Shanghai Theatre Academy in 2010, majoring in acting. Merxat began his career as a fashion model at age 22 when he entered the Asian Sportsman Contest…","1,010"
Tian Xi Wei,Chinese,"Tian Xi Wei is a Chinese actress born in Chongqing, China. She graduated from Shanghai Theatre Academy and officially entered showbiz in 2017 with her role in the 2018 series ""Waiting for You in a Long Time"".","1,005"
Chen Yu Qi,Chinese,"Chen Yu Qi (English name: Yukee) is a Chinese actress, born as Chen Qian in Chengdu of Sichuan Province. She graduated from the Department of Arts of Jincheng College of Sichuan University, majoring in performance. Chen started out as an extra in Hengdian World Studios. She struggled to get roles until…","1,004"
Zhu Xu Dan,Chinese,"Zhu Xu Dan, also known as Bambi Zhu, is a Chinese actress managed by Jay Walk Studio. She was born in Qiqihar, Heilongjiang. Since the young age of 6, she started learning dance. Prior to debuting, she worked as an advertisement model. In 2010, Zhu was enrolled in the Central Academy of Drama majoring…","1,003"
Lim Soo Jung,South Korean,"Lim Soo Jung is a South Korean actress. After modeling for teen magazines, she made her acting breakthrough in Kim Jee Woon's horror film ""A Tale of Two Sisters"" (2003), followed by the popular television drama ""I'm Sorry, I Love You"" (2004). She won the Best Actress award at the 33rd Blue Dragon Film…","1,002"
Yin Anan Wong,Thai,"""Yin"" Anan Wong is a Thai-Hong Kong actor born in Thailand. He studied computer engineering at Srinakharinwirot University and graduated with first class honours. Best known for playing the role of Vee in ""En of Love: Love Mechanics"" and its spin-offs, Yin has also found success as YouTuber and singer…","1,002"
Tang Xiao Tian,Chinese,"Tang Xiao Tian, also known as Daddi Tang, is a Chinese actor and model. He was born in Tianjin, China and made his debut as an actor in 2017. He studied at the Beijing Institute of Fashion Technology. Since then, he has appeared in various television dramas, including the romantic comedy, “Put Your…","1,001"
Son Woo Hyun,South Korean,"Son Woo Hyun, born Son Hyun Seok, first debuted in April 2011 as an idol in the K-pop group X-5. He then went under the stage name ""Ghun"" and was the leader of the group. He first made a name for himself in the drama industry when he appeared in the drama series “Miss Ripley” later in 2011, following…","1,001"
Sugino Yosuke,Japanese,"Sugino Yosuke is a Japanese actor under Topcoat Group. Born on September 18, 1995, from Chiba Prefecture, Japan.",997
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Jang Eui Soo,South Korean,"Jang Eui Soo is a South Korean actor, born on January 22, 1990. He made his acting debut in the 2012 drama series “Gentleman’s Dignity.” Eui Soo made his movie debut in the 2015 film “Northern Limit Line"". He continued his acting career in the dramas ""Bad Papa"" (2018) and ""He is Psychometric""…",997
Lee Yoo Ri,South Korean,"Lee Yoo Ri is a South Korean actress who rose to stardom as the “Nation’s Villain” after starring in the 2014 television drama “Come! Jang Bo Ri”, for which she won the Grand Prize at the 2014 MBC Drama Awards. Lee made her acting debut in the 2001 television drama “School 4” and has received…",995
Arimura Kasumi,Japanese,"Arimura Kasumi, born in Itami City, Hyogo Prefecture, is a Japanese actress represented by FLaMme. In December 2009, while attending Hyogo Prefectural Itami Nishi High School, she auditioned for FLaMme and passed. In May of 2010, she made her first series appearance in ""Hagane no Onna"". She also gained…",994
Nadech Kugimiya,Thai,"Nadech Kugimiya is an actor and model of Thai and Austrian descent. He is the adopted child of Yoshio Kugimiya and Sudarat Kugimiya who is also his biological aunt. His nickname ""Barry"" comes from his original nickname ""Brand"". He graduated from Rangsit University with a Bachelor's Degree in Communication…",991
Kim Kang Min,South Korean,"Kim Kang Min, born in Sokcho, Gangwon Province, is a South Korean actor managed by Mystic Story. He made his debut in 2019 with the SBS series ""Stove League"". 

(Source: Wikipedia, Mystic Story.)",990
Pyo Ye Jin,South Korean,"Pyo Ye Jin is a South Korean actress who was born on February 3, 1992, in Changwon, South Korea. She worked as a flight attendant for two years after graduating from university, before eventually turning her hand to acting. She made her debut in the 2012 family-themed drama series “Here Comes Mr.…",987
Lee Sang Yi,South Korean,"Lee Sang Yi is a South Korean actor. Lee first came across acting when he did an English play in 6th grade in elementary school. In 2008, when he was a student at Anyang Arts High School, he covered Rain's Rainism dance and won 1st place in the UCC contest. He went on to study acting at Korea National…",987
First Chalongrat Novsamrong,Thai,"Chalongrat Novsamrong, nicknamed First, is a Thai actor and former member of the boy band Cute Chef, which disbanded at the end of 2018. He made his acting debut in 2017 through the film ""Ruk Tur Hai Noy Long"". He debuted on the small screen the following year through ""Social Death Vote"". He is enrolled…",985
One,South Korean,"Jung Jae Won, better known by his stage name One (stylized as ONE), is a South Korean rapper, singer, songwriter, and actor. He debuted in 2015 as a member of the hip-hop duo 1Punch with Samuel Kim but later One moved to YG Entertainment from D-Business Entertainment, following the group's disbandment…",977
