Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
Feel the World,Chinese TV Show - 2019,12 episodes,"Celebrities and their friends will take a break from the hustle and bustle of daily life, and hit the road for a slow and relaxing journey. Celebrity guests will choose the destinations and way to travel, and invite…",8.2
Legendary Soon Kyu,Korean TV Show - 2021,10 episodes,"Training period itself was 15 years! Sangam-dong's legendary trainee Soon Kyu and world class idol seniors who came to teach us the secret on how to debut!

(Source: Naver)",8.2
Kim Yoo Jung’s Half Holiday in Italy,Korean TV Show - 2019,8 episodes,“Kim Yoo Jung’s Half Holiday in Italy” is a traveling variety show and chronicles Kim Yoo Jung’s adventures around Italy. The show will showcase Kim Yoo Jung as a tourist in Italy and even as a part-time worker…,8.1
Woo's Yomozomo,Korean TV Show - 2022,6 episodes,"A spinoff show to ""Meenoi's Yorizori"" presented by AOMG with Woo Won Jae. 

(Source: AOMG YouTube)",8.2
Hi Directors,Chinese TV Show - 2021,20 episodes,"The first ever competitive reality show for directors in China. The show focuses on the struggle behind the scenes of the film industry. 20 directors, together with 5 well-known producers and inspiring actors will work…",8.2
STRAY KIDS X CouchTalk,Korean TV Show - 2019,1 episodes,Overview not available,8.2
Krahai Lao Ep. 7 Special,Thai TV Show - 2021,1 episodes,Overview not available,8.2
KONY'S SUMMERTIME,Korean TV Show - 2016,1 episodes,Overview not available,8.2
Gaki no Tsukai No Laughing Batsu Game: Enthusiastic Teachers,Japanese TV Show - 2012,1 episodes,"The cast is dressed as teachers and has to take a hard training in the teacher academy, before they can enter the real school. One big part of the batsu takes place in the Endo-periode, when the casts time-slips back…",8.3
Youth Dorm Relay,Chinese TV Show - 2021,9 episodes,Interesting things in trainees' dormitory and talking about stories. Trainees from different dorms come together and play games. Tell story of them during dachang and their trainee life.,8.3
April's On Airpril: Season 1,Korean TV Show - 2015,38 episodes,Overview not available,8.2
Idol World,Korean TV Show - 2007,25 episodes,Overview not available,8.2
Liza's Online Season 1,Hong Kong TV Show - 2019,18 episodes,Overview not available,8.2
Yai & The Grandsons Special,Thai TV Show - 2019,2 episodes,Special episodes of the Yai & the Grandsons TV show,8.1
AKB48 Nemousu TV: Season 25,Japanese TV Show - 2017,12 episodes,Overview not available,8.2
We Got Divorced,Korean TV Show - 2020,13 episodes,"“We Got Divorced” is a variety show featuring divorced star couples who will reunite and live together for a few days. The program will look at social distancing in a new light, transforming the distance caused by…",8.1
"Thailand, I Miss You!",Thai TV Show - 2021,3 episodes,"A story buried deep in the heart that has never been revealed before. With various missions During the journey of 4 comrades in Thailand, I Miss You!",8.1
Stove League: The Real,Korean TV Show - 2020,1 episodes,"New to the KBO League? This documentary explains the ins and outs of Korean baseball, and is hosted by the cast of 'Stove League,' this year's critically acclaimed baseball drama. For the first time in 38 years opening…",8.1
JBJ All the Time!,Korean TV Show - 2017,21 episodes,"A series of short videos that features JBJ members behind the scenes of album photoshoots, MVs, music shows and more!

(Source: olivestulip at MyDramaList)",8.2
Super Brain Season 8,Chinese TV Show - 2021,12 episodes,Overview not available,8.0
Da Zhen Tan 8 Chao Qian Ju Hui Xue Yuan Ban,Chinese TV Show - 2023,1 episodes,Overview not available,8.1
Racing Youth Season 2,Chinese TV Show - 2023,8 episodes,"In partnership with Honda, the show gathers 12 celebrities who will train with four race car drivers to cultivate a passion for race car driving.

(Source: MyDramaList)",8.3
Mr. Housework Season 2,Chinese TV Show - 2020,12 episodes,"The second season to Mr. Housework, featuring male entertainers doing housework.",8.2
Who's the Murderer: NZND Special,Chinese TV Show - 2020,1 episodes,Overview not available,8.2
Match Up: Block B Returns,Korean TV Show - 2012,7 episodes,"Block B's second season of their reality show, Match Up, after an 8 month hiatus",8.2
The Sound: Season 3,Chinese TV Show - 2019,14 episodes,In every episode the guests will compete against each other using their voice.,8.2
The Qmentary,Korean TV Show - 2015,11 episodes,"A real fact digging talk show to find out everything about the artist's new album by nano units, The Qmentary!",8.2
Channel AOA,Korean TV Show - 2016,7 episodes,"A reality show where AOA members share their lifestyle.
(Source:ondemandkorea)",8.1
Sonsational: The Making of Son Heung Min,Korean TV Show - 2019,6 episodes,"A reality program capturing soccer player Son Heung Min's growth and soccer life.

(Source: allkpop)",8.2
SBFIVE in China,Thai TV Show - 2018,3 episodes,Overview not available,7.9
Idol Wonderland,Korean TV Show - 2020,10 episodes,"A new variety series dedicated to K-Pop idol group guests. Each episode, idol group guests will visit a specially designed theme park, where they can hang out virtually with their fans and fulfill global fans' wishes!…",8.2
Weekly TXT,Japanese TV Show - 2020,8 episodes,Overview not available,8.6
ILOGU SF9,Korean TV Show - 2019,8 episodes,Overview not available,8.5
HyunA-ing,Korean TV Show - 2019,35 episodes,Overview not available,8.2
Adola Travel Agency: Cheat-Ing Trip Season 3,Korean TV Show - 2022,8 episodes,Overview not available,8.2
Flavorful Origins: Yunnan,Chinese TV Show - 2019,10 episodes,"In the second series of ""Flavorful Origins"", we discover the cuisine of Yunnan",8.2
Ring My Bell: ATEEZ,Korean TV Show - 2019,5 episodes,Overview not available,8.2
Mago Mago Arashi,Japanese TV Show - 2005,125 episodes,"Mago Mago Arashi (まごまご嵐 Grandchildren Arashi) was a Japanese variety show that ran from April 9, 2005 to October 6, 2007 on Fuji TV.[1] Aired from 13:00 to 13:30 (JST), it was the third variety show on Fuji…",8.1
Mystical Record Shop,Korean TV Show - 2021,10 episodes,"The upcoming program will be a music variety show in which the four MCs, who are linked together by the same career, introduce memorable life stories and songs.
(Source: Soompi)",8.4
Law of the Jungle: Hidden Kingdom Special,Korean TV Show - 2015,7 episodes,Overview not available,8.2
He's Into Her: The Benison Ball,Filipino TV Show - 2021,1 episodes,"To celebrate the phenomenal run of the well-loved series “He’s Into Her,” everyone is invited to a night full of talent, music, fun, and kilig. Watch the “He’s Into Her: The Benison Ball” featuring all-star…",8.2
A Free Meal Chance. May Pepsi Treat You?,Thai TV Show - 2023,5 episodes,Overview not available,7.8
Grandpas Over Flowers: Season 4,Korean TV Show - 2015,7 episodes,This show is about 4 veteran actors traveling around the world with the help of a luggage boy a.k.a Lee Seo Jin with a limited budget. Fourth season of the show is filmed in Dubai and Greece and actress Choi Ji Woo joins…,8.2
Keep Running: New Year Special,Chinese TV Show - 2016,1 episodes,"Running Man is a reality-variety show which stars 7 regular members. In each episode, they must complete missions at famous landmarks to win the race. The missions almost always feature running, hence the title, and…",8.2
Wonderland Junior,Chinese TV Show - 2022,16 episodes,"12 young artists stay together in the seaside Wonderland to meet unknown challenges and create a trendy life together. By working hard to win the opportunity to be seen by the audience, they show their talented selves.…",8.1
High School Style Icon Season 1,Korean TV Show - 2019,7 episodes,13 highschool students compete in different fashion challenges. Who is the best at styling?,8.2
The Rap of China Season 4,Chinese TV Show - 2020,12 episodes,The Rap of China is a Chinese rap competition show produced by iQiyi. The show has been credited for making hip hop widespread and mainstream in mainland China.,8.2
Rock & Roast Season 4,Chinese TV Show - 2021,10 episodes,"Rock & Roast season 4 is a show in which contestants compete with their stand-up comedy skills to earn the title ""Stand-up King"".

(Source: roubing at MyDramaList)",8.2
Quiz Alarm,Korean TV Show - 2021,9 episodes,"A quiz variety show wherein guests have to answer 10 questions that are hidden inside 10 boxes. If they answer correctly, they get generous rewards. Winning these rewards, of course, is not going to be easy. (Source:…",8.2
Lay's on Cruise,Thai TV Show - 2022,3 episodes,"Gun, Tay, Dew, PP and Billkin go on a sea trip. For two days and one night, the five will live together and compete to win coins in order to unlock a final treasure. 

(Source: MyDramaList)",8.2
"Sejun Subin, Do It!",Korean TV Show - 2021,6 episodes,Overview not available,8.2
Salon Drip,Korean TV Show - 2023,10 episodes,"Tea time talk show with Salon owner Jang Do Yeon. A comfortable world of endless aristocratic-like conversations in the realm of wit! 

(Source: Korean = NamuWiki || Translation = MyDramaList)",7.9
Boom Shakalaka,Korean TV Show - 2016,1 episodes,"Chuseok special - Dance Variety Show ""Boom Shakalaka"" “Book Shakalaka” is a dance competition program where eight contestants transform into “Dance AlphaGos,” competing with South Korean dance hits from the 1980s…",8.2
Bon-Us,Chinese TV Show - 2020,7 episodes,"This is an idol group variety show, dominated by BONBON GIRLS members. 7 girls started the welfare vacation team-building plan for the first time after they formed the group. They will complete the connection between…",8.2
AB6IX DEBUT D-DAY,Korean TV Show - 2019,2 episodes,"Debut show, covering rookie idol AB6IX",8.2
"Now, Follow Me",Korean TV Show - 2022,8 episodes,"""Follow Me"" brings viewers beloved celebrity father and daughter-son duo back to screen! Yoon Min Soo, Lee Jong Hyeok, Choo Sung Hoon and Lee Dong Gook will be showing a new side with their children after their last…",8.3
Winner Vacation: Bell Boys,Korean TV Show - 2021,8 episodes,"Fans can look forward to seeing the chemistry between Kang Seung Yoon and Song Mino, who are the same age and have similar yet different personalities and tastes, as they set off on a trip of their own. (Source: Soompi)",8.1
Blip Data Lab: Treasure,Korean TV Show - 2022,3 episodes,"Rise and Run on TREASURE’s Graph! Blip analyzed the main moments of TREASURE MAKER for a year.

(Source: 블립 - blip YouTube)",8.2
Let's Chat Season 3,Chinese TV Show - 2022,11 episodes,"Work's done! Let's have hotpot together. ""Let's Chat 3"" is the spin-off program of ""Street Dance of China: Season 5."" The four captains, the chief director, and the chief screenwriter chat about the show's hot topics…",8.0
GFRIEND's MEMORIA - Home Together,Korean TV Show - 2021,3 episodes,"From the time they leave work to the moment they fall asleep. In particular, fans' expectations are at their peak as the veiled GFriend's dorm will be revealed for the first time. Members who arrive at their dorm after…",8.2
Fly Close to the Ground,Chinese TV Show - 2022,4 episodes,"A short documentary of Wu Lei becoming one with nature in the wilderness during winter. He spent his birthday there in December, photographed, and filmed day in and day out. He met several locals who took him around…",8.1
Yai & the Grandsons,Thai TV Show - 2018,14 episodes,"A musical variety show where Pompam Niti Chaichitatorn, the Grandma, hosts for GMM actors. Guests sing songs of different genre or theme every episode.

(Source: MyDramaList)",8.2
VS Damashii,Japanese TV Show - 2021,58 episodes,"‘VS Damashii’ will take over Arashi’s popular game variety program ‘VS Arashi’ which will come to an end this December. The program’s concept will remain the same, but Aiba plans to incorporate new things…",8.1
Lovely Writer Talk x WeTV,Thai TV Show - 2021,1 episodes,Overview not available,7.5
United Fathers,Korean TV Show - 2022,34 episodes,Parenting is like a battle. Parents even call out for help from grandparents to raise children. Fathers from all around the globe who are raising kids in Korea have gathered. They observe their parenting and share childcare…,8.2
Uniq Life Season 1,Korean TV Show - 2015,12 episodes,"""Uniq Life"" is a set of short videos documenting the members of UNIQ throughout their career in behind-the-scenes of variety shows, live stages, and travels.

(Source: MyDramaList)",8.2
Cafe Amor,Korean TV Show - 2018,13 episodes,"A celebrity cafe crew, including Yoo In Na, Lee Juck, Yang Se Hyung and Rowoon, set up a cafe to cater to people who have reserved a blind date. Participants chosen online would be paired up with their ideal types for…",8.1
Save 100K,Thai TV Show - 2023,3 episodes,"Phuwin, Namtan, Janhae, Mark and Neo are each given 100,000 baht that they'll have to keep from being reduced in each challenge. 

(Source: MyDramaList)",8.2
Let’s Play Lay’s 24 Hrs,Thai TV Show - 2022,3 episodes,"Tay, Gun, and Jennie compete to win ""Joy coins"" over a period of twenty-four hours. The winner will take home an undisclosed prize.

(Source: MyDramaList)",8.2
Happy Theater,Chinese TV Show - 2017,12 episodes,Overview not available,8.2
Dodaeng's Diary in LA,Korean TV Show - 2017,6 episodes,Overview not available,8.2
MEMORY KARD,Korean TV Show - 2017,3 episodes,KARD's special memory at LA!,8.2
SBFIVE x Taokaenoi,Thai TV Show - 2018,10 episodes,Overview not available,7.9
Crush's BlackVox,Korean TV Show - 2022,6 episodes,Overview not available,8.3
Viva La Romance Season 5,Chinese TV Show - 2021,15 episodes,"A variety show that features celebrity couples, husband and wife, covering the many complexities of marriage and the perspectives on solving marital problems. Each season, the wives of these couples will embark on a…",8.2
Kick a Goal Season 2: Super League,Korean TV Show - 2022,20 episodes,Overview not available,8.1
Blackpink's 2022 Welcoming Collection,Korean TV Show - 2022,1 episodes,Overview not available,8.4
Bon-Us One Year Slay&Play Trip,Chinese TV Show - 2021,6 episodes,"BonBon Girls 303 was about to have the summer anniversary party but got an unexpected intel: the Hard Candies' Law Lab was attacked by the Demon Lord of Time, and the BON-pamine which makes the diamond candy was taken…",8.2
UNBAG!!,Thai TV Show - 2020,35 episodes,"The new kind of happiness from Marwin and Tops or Jeff and Game. Items that will make everyone happy. What's in the bag, they'll open?
(Source: CentralFood TV)",8.2
Law of the Jungle - Spring Special in Jeju,Korean TV Show - 2021,3 episodes,Overview not available,8.2
Detective College Season 1,Chinese TV Show - 2019,17 episodes,"""Detective College"", as a derivative of the fifth season of ""Who's the Murderer"", is a star reasoning variety show where selected detective assistants launched by Mango TV. The star guests determine the number of advances…",8.2
I'm Yours for 60 Minutes,Korean TV Show - 2020,10 episodes,Hour-long interview-style variety show where idols are asked psychological questions.,5.7
Open Up! AOA,Korean TV Show - 2015,10 episodes,Overview not available,8.3
Star Crews On Board,Korean TV Show - 2019,12 episodes,"A flight attendant is considered as a dream job because it requires traveling all around the world, but that's not all of the job descriptions. The show features four celebrities challenging to experience the real work…",8.2
Cheongdamdong 111: N.Flying's Way to Become a Star,Korean TV Show - 2014,5 episodes,Overview not available,7.9
Ask Us Anything Fortune Teller: Pilot,Korean TV Show - 2019,3 episodes,"Fortune teller Seo Jang-hoon and child monk Lee Su-Geun will give solutions that work like a charm. 
(Source: KBS World)",8.2
It's Ramyeon Time,Korean TV Show - 2020,2 episodes,"For all the restaurant owners who are crying from COVID 19, this show is going to develop awe-inspiring ramyeon recipes!

(Source: Kocowa)",8.2
Nego King Season 3,Korean TV Show - 2021,10 episodes,"Same concept but with a twist! In particular, season 3 is expected to show a doubly stronger and stronger negotiation as it is the first '1+1' duo Nego king system of 'Nego King'. DinDin and Sleepy, who were selected…",8.2
Dancing 9 Season 3,Korean TV Show - 2015,10 episodes,Overview not available,8.2
Brave Detectives,Korean TV Show - 2022,9 episodes,"""Brave Detectives"" is a true-crime show featuring a dramatic and vivid retelling of unimaginable cases. It features the shocking crimes and the detectives' investigation stories with blood, sweat, and tears. (Source:…",8.2
Pixy School,Korean TV Show - 2022,3 episodes,"A school-themed variety show following the members of Pixy as they play games and win prizes.

(Source: MyDramaList)",8.4
"Summer, and ITZY!",Korean TV Show - 2022,1 episodes,Overview not available,8.5
Crush Over,Chinese TV Show - 2023,10 episodes,This program is a passionate survival competition reality show that comprehensively tests the body and will. The program has newly designed multiple complex challenges to test the contestants in all aspects. This is…,8.1
Law of the Jungle - Hunter and Chef,Korean TV Show - 2020,4 episodes,"Law of the Jungle is a hybrid reality show combining elements of drama and documentary. The show is hosted by comedian Kim Byung Man, and each episode invites various celebrities from the various field. It has recently…",8.2
Grandma's Restaurant in Samcheong dong,Korean TV Show - 2018,12 episodes,"However old you are, the most delicious food in your memory would be the homemade dish your grandmother cook when you were a kid. Samchungdong Grandmas features the simplest and the most delicious meals in the world,…",8.2
YinYang,Thai TV Show - 2021,49 episodes,Yin does various activities.,8.1
Fashionista Taengoo,Korean TV Show - 2019,20 episodes,A reality program that shows friendship and sympathy between Taeyeon and her dog 'Zero'.,8.2
Super Junior's Foresight,Korean TV Show - 2010,17 episodes,Super Junior's Foresight (Korean:슈퍼주니어 의 선견지명 ) is a South Korean television talk show broadcast from 18 December 2010 to present on MBC Network's branch MBC Every1. The programme is hosted mainly…,8.1
Bread Is My Life,Korean TV Show - 2021,8 episodes,Overview not available,8.1
Law of the Jungle in Borneo: The Hunger Games,Korean TV Show - 2014,8 episodes,Overview not available,8.2
Ride on Time Season 2,Japanese TV Show - 2019,21 episodes,"A Collaboration between J-storm and Fuji TV. Cameras work closely with an artist or the staff who creates a concert. It is a program that digs deeper into the theme as a ""continuous documentary"" that covers the same…",8.2
Turkids on the Block Season 2,Korean TV Show - 2022,24 episodes,"Lee Yong Jin continues with his show but now, when Turkey requested their English name to be changed to Türkiye, the name of the show also changed and the episodes reset as well. (Source: Korean = Namu Wiki || Translation…",8.2
Twenty-Four Hours Season 3,Chinese TV Show - 2018,12 episodes,"7 sailors from 600 years ago embarked on a thrilling adventure, Lin Zhi yingand Yu wen le as fixed captains, will lead the remaining five members though missions. The program with a ""Zheng He seven voyages"" as the background…",8.2
Idol Workshop (G)I-DLE,Korean TV Show - 2020,5 episodes,Overview not available,8.1
IDOL VS. IDOL,Japanese TV Show - 2020,80 episodes,Overview not available,8.2
VsArashi Saikyou Ouja Kettisen Special #1,Japanese TV Show - 2008,1 episodes,"This is the first Special Of Entertainers Vs. Athletes Vs. Arashi
Games are: Falling Pipe, Pinball Runner, Wall climb
Middle Segment Thank you to TOKIO 
Separate Falling pipe Segment: Knock on a Jumping Door",8.1
4minute's Travel Maker,Korean TV Show - 2012,8 episodes,"Show documenting the journey, of 4Minute members and their friends, from Busan to Signapore.",8.1
Amazing Mums,Chinese TV Show - 2017,12 episodes,"A TV Show, where celebrities take out their children and spend time with each other, with many challenges on the way.",8.4
Gaki no Tsukai No Laughing Batsu Game: Science Lab,Japanese TV Show - 2016,1 episodes,Overview not available,8.2
BTOB's Cool Men,Korean TV Show - 2014,6 episodes,Overview not available,8.2
KAT-TUN no Sekaiichi Tame ni Naru Tabi! SP 4,Japanese TV Show - 2014,1 episodes,"KAT-TUN are given the tasks to help people with the following three rules and travel around Japan
1. orders are absolute
2. they can'y use money
3. they have to do everything on their own",8.2
The Game Caterers Special 10,Korean TV Show - 2023,2 episodes,"Special edition of ""The Game Caterers Season 2"" with cast from season 2 of ""Big Bet"".

(Source: MyDramaList)",8.2
Me7Nam,Korean TV Show - 2016,10 episodes,Me7Nam is a variety show for the kpop group Victon.,8.2
Hip Hop Tribe Season 1,Korean TV Show - 2016,10 episodes,A hip hop and rap competition program where older generation contestants are teamed up with professional hip hop music producers.,8.2
Crisis Escape No. 1,Korean TV Show - 2005,527 episodes,Crisis Escape No.1 is a variety/infotainment program aimed to inform all viewers about how to overcome a crisis if they were to encounter one in their lives. It covered various topics including natural disasters as well…,8.0
MIA Season 6,Chinese TV Show - 2023,10 episodes,"""Mars Intelligence Agency Season 6"" is really back! After 3 years of agreement, the hilarious return! As the coolest ""friend game"" in the universe, old friends have been working hard for 3 years and have accumulated…",8.1
Time Concert Season 1,Chinese TV Show - 2021,14 episodes,Overview not available,8.2
Super Team Season 2,Chinese TV Show - 2023,10 episodes,"The ""Athletic Alliance"" formed by Wang Meng, Zhou Yang, Liu Yuxin, Fan Shiqi, and Yao Chen walks into the streets and alleys of the city to meet the challenges initiated by athletes with different abilities from all…",8.2
Don't Look Back,Korean TV Show - 2021,4 episodes,"On January 22, the first episode of Sechskies x Yoo Hee Yeol's 'Don't Look Back' premiered via YouTube, fulfilling the promise made nearly a year ago on 'Three Meals for Four'. The new series, airing via tvN's 'Channel…",8.1
Secret KARD,Korean TV Show - 2017,10 episodes,Short videos about kpop group K.A.R.D and their time in America,8.1
Law of the Jungle in Brazil,Korean TV Show - 2014,9 episodes,Overview not available,8.2
4 Wheeled Restaurant USA,Korean TV Show - 2019,12 episodes,The show presents various Korean chefs cooking in the country their cuisine originated from. The aim is to see if their cooking is accepted in the origin country as if it was in Korea.,8.2
Birth of a Family,Korean TV Show - 2011,21 episodes,Overview not available,8.1
NCT 127: Road to Japan,Japanese TV Show - 2017,12 episodes,"NCT 127 on their visit to Tokyo, Japan.",8.1
The Game Caterers Special 6,Korean TV Show - 2022,2 episodes,"Special episodes of ""The Game Caterers Season 2"" with Girls' Generation.

(Source: MyDramaList)",8.2
Topp Dogg: All-Kill,Korean TV Show - 2016,10 episodes,"ALL-KILL: The ultimate definition of success. Hip-hop group Topp Dogg is here to win you over with their perseverance as they take on fan-submitted missions in Soompi’s first original web variety show, “Topp Dogg…",8.1
The Winter Dream Promise,Chinese TV Show - 2021,8 episodes,"Join the celebrity sports ambassadors of the Beijing 2022 Winter Olympics as they introduce their given sport, get a walk through of the arenas and learn about their architecture, meet the athletes of both Olympics and…",8.1
"Let’s Go, Man Soo Ro",Korean TV Show - 2019,16 episodes,This variety show follows Kim Soo Ro as he personally meets the soccer players that belong to his newly purchased football club known as the Chelsea Rovers. The show will show how he learns how to lead the club as its…,8.1
Project Alpha Special,Thai TV Show - 2023,1 episodes,"To celebrate the new year, the Project Alpha contestants are joined by seven GMMTV artists to play games. The Alphas and Betas put on three special performances to showcase their respective strengths. (Source: MyDramaList)",8.1
Red Velvet Eye Contact Cam: Season 1,Korean TV Show - 2018,4 episodes,Overview not available,8.1
Gagman,Chinese TV Show - 2020,10 episodes,"A reality show with the goal to find interesting idols with professional variety show skills. The program consisted of He Jiong, Chen Weiting, Da Zhangwei and Li Dan, who form the ""Gagman Master Group"", with Qi Wei as…",8.1
NU'EST Making of a Star,Korean TV Show - 2012,8 episodes,The members of NU'EST are given a series of missions to bring the group closer and make them info better idols.,8.1
Ride on Time Season 3,Japanese TV Show - 2020,21 episodes,"A Collaboration between J-storm and Fuji TV. Cameras work closely with an artist or the staff who creates a concert. It is a program that digs deeper into the theme as a ""continuous documentary"" that covers the same…",8.2
High School Reunion,Thai TV Show - 2015,147 episodes,A variety show where celebrity guests visit their high school alma maters.,8.1
The Friends in Switzerland,Korean TV Show - 2015,4 episodes,Join Korean stars Leeteuk and Ryeowook who are close friends as they journey across the beautiful Switzerland in new ‘The Friends’ travelogue series.,8.1
NU'EST W​ X Happiness Train,Korean TV Show - 2017,1 episodes,NU'EST W​  sits down for a chat on the Happiness Train.,8.1
AKB Team 8 no Bunbun! Eito Daihousou,Japanese TV Show - 2017,10 episodes,"A variety show with the members of AKB48's Team 8. They have their go at sketches and talk about various topics with the hosts, Audrey",8.3
Europe Outside Your Tent: Norway,Korean TV Show - 2023,10 episodes,"Four actors from Season 1 come together once again but this time head to Norway. But instead of the typical trip with accommodations and comfortable food, they are going camping. Watch as our 4 campers go to an upgraded…",8.2
Street Alcohol Fighter Season 1,Korean TV Show - 2021,20 episodes,"A variety show where Kim Hee Chul invites guests out for a drink.

(Source: kagamine_dan at MyDramaList)",8.1
Nogizaka Skits Act 2,Japanese TV Show - 2020,20 episodes,Nogizaka Skits is a variety program that succeeded Nogizaka Doko e as Nogizaka46 4th gen's main program.,8.2
NMB48 Geinin!,Japanese TV Show - 2012,12 episodes,NMB48 Geinin! is a TV Show featuring the members of NMB48. The program aired 12 episodes between July and September 2012.,8.0
Telepathy Live,Korean TV Show - 2019,4 episodes,Idol groups must test their teamwork skills by singing their latest songs with the parts switched. They aren't allowed to communicate to each other who should sing which part and each time they make a mistake they face…,8.1
Suam Lives Alone,Korean TV Show - 2021,9 episodes,"Twenty-nine years old Park Seo Ham, a member of KNK, documents his journey of learning how to live alone for the first time in his life.

(Source: bazingamthrfckr at MyDramalist)",8.4
Time Concert Season 2,Chinese TV Show - 2022,12 episodes,"The second season of Time Concert is a music variety show. The regular members are Tian Zhen, Sun Yue, Gigi Leung, Du Chengyi, Zhou Shen and Hu Xia who are time musicians. The guests are time friends. The style of the…",8.1
Divas Hit the Road: Season 3,Chinese TV Show - 2017,12 episodes,"Diva Hits the Road 3 is a travel reality show that stars Chen Bolin, Tony Yang, Zhang Ruoyun, Jing Boran, Maggie Jiang, Guli Nazha, Lai Yumeng and Song Zu'er. Unlike the past two seasons where emphasis is on budget travelling,…",8.1
Arm Share Special,Thai TV Show - 2021,2 episodes,"Arm invites celebrity guests to compete in a series of challenges.

(Source: adrien @MyDramaList)",8.1
B.A.P diary,Korean TV Show - 2012,2 episodes,This special shows the footage of Rookie group B.AP’s first fan meeting and vacation in Singapore.,8.1
"Dad, Where Are We Going? Season 5 Lunar New Year Special",Chinese TV Show - 2018,2 episodes,The cast of season 5 celebrate Lunar New Year in Hainan. What awaits for the children and their fathers there?,8.1
KAT-TUN no Sekaiichi Tame ni Naru Tabi +,Japanese TV Show - 2018,35 episodes,"After a 2 years re-charging period Tame Tabi is back.
KAT-TUN goes to Taiwan to find venomous animals like snakes among other trials.",8.1
The Mask Line Thai,Thai TV Show - 2018,20 episodes,Overview not available,8.1
Idol's Physical Race,Korean TV Show - 2022,7 episodes,Overview not available,8.0
Law of the Jungle in Indochina,Korean TV Show - 2015,9 episodes,Overview not available,8.1
Law of the Jungle in Panama,Korean TV Show - 2016,8 episodes,Overview not available,8.2
Yummy! Yummy!,Chinese TV Show - 2016,12 episodes,Cooking variety show hosted by Tao Jing Ying.,8.3
Travel With Us,Thai TV Show - 2020,6 episodes,"The cast of 2 Moons 2: The Series will go on a journey to explore the world with interesting destinations. They take a trip across the region, chilling, recharging, doing fun activities, and trying food at delicious…",8.1
Food Avengers,Korean TV Show - 2020,6 episodes,"The new program aims to combine eco-friendly cooking with fun cooking broadcasts. Through Food-vengers, top chefs and cast members will create and present new menus using leftover ingredients to promote zero-waste cooking.…",8.0
D no Arashi,Japanese TV Show - 2003,116 episodes,"The show's theme was about at least one member acting as a reporter and document on different topics. Later in the show, the group would split into one MC and two teams of two to compete in a ""Fool's Curiosity"" competition,…",8.1
Nogizaka46 no Gakutabi!,Japanese TV Show - 2017,18 episodes,"Nogizaka46 no Gakutabi! is a television program featuring Nogizaka46. It is broadcast on NHK BS Premium, but not on a regular schedule. Members of Nogizaka46 play the part of transfer students to various high schools…",8.2
Blackpink's 2020 Welcoming Collection,Korean TV Show - 2020,1 episodes,Overview not available,8.2
The Flash Band Season 1,Chinese TV Show - 2021,12 episodes,"The Flash Band is a music social band program launched by Zhejiang Satellite TV, produced by the Zhejiang Satellite TV Program Center. Remove the shackles of ""stream"" and focus on the essence of music; in the show. In…",8.2
Parasite Challenge Cravity,Korean TV Show - 2021,8 episodes,"CRAVITY members enter the Parasite House, unaware of what awaits them! Secret snacking, Christmas present unboxing... everything was fun and all in the luxurious house until... An alarm went off and startled CRAVITY.…",8.1
Bling Bling De Time Season 4,Chinese TV Show - 2023,47 episodes,Overview not available,8.2
Chuang 2019: Dorm Diary,Chinese TV Show - 2019,18 episodes,A dorm diary of the Chuang 2019 trainees showing their daily lives and interactions with each other at the Chuang camp.,8.1
Super Junior M Guest House,Korean TV Show - 2014,12 episodes,The show is about Super Junior-M doing a guided tour for Chinese people in South Korea. They are the landlord of the Guest House. Tudou will select some lucky fans to film Guest House with Super Junior-M members. Super…,8.1
"1,2,3 IVE Season 2",Korean TV Show - 2022,6 episodes,"Following the success of their first variety show ""1,2,3 IVE"". Season 2 will feature behind the scenes process for their comeback ""Love Dive"" and also featuring many other co-curricular activities and games for them…",8.2
The Mask Zodiac,Thai TV Show - 2019,11 episodes,Overview not available,8.1
Watching it in Japan: Season 4,Thai TV Show - 2020,5 episodes,Overview not available,8.1
Law of the Jungle – Pent Island: Island of Desire,Korean TV Show - 2021,2 episodes,"Law of the Jungle is a hybrid reality show combining elements of drama and documentary. The show is hosted by comedian Kim Byung Man, and each episode invites various celebrities from the various field. It has recently…",8.1
Comedy Big League Season 1,Korean TV Show - 2011,10 episodes,Overview not available,8.2
Sporty Sisters,Korean TV Show - 2020,56 episodes,"Female sports stars become friends as they try out new experiences and learn something none of them quite knows how to do: letting loose and having fun!

(Source: Netflix)",9.2
Good Night Show - King Maker,Hong Kong TV Show - 2018,61 episodes,"The 99 male contestants will be selected from the auditions to compete in various kind of performances. They will be training together and competing against one another throughout the journey. In the end, only one will…",8.1
Keep Running Documentary Season 10,Chinese TV Show - 2022,12 episodes,"Extra unbroadcasted content of ""Keep Running Season 10"" with a new segment with a guest ranking the different foods from the cities they explore.

(Source: MyDramaList)",8.1
Law of the Jungle in Wild Korea,Korean TV Show - 2020,4 episodes,Law of the Jungle is a South Korean reality-documentary show that airs on SBS. Each episode features celebrities sent to survive in remote locations around the world. Theme: Survive from the Disaster that Started Unexpectedly…,8.1
Goose Gala,Chinese TV Show - 2021,1 episodes,"An annual filmed reality new year's eve party. It brings together stars from WeTV's variety shows, drama series, animation and other fields.",8.1
